symbol,name,reportDate,fiscalDateEnding,estimate,currency,timeOfTheDay
ACCO,ACCO BRANDS CORPORATION,2026-03-09,2025-12-31,0.38,USD,pre-market
ACMLF,ACMLF,2026-03-09,2025-12-31,,USD,
ADLRF,ADLRF,2026-03-09,2025-12-31,0.32,USD,
ADTX,ADITXT INCORPORATED,2026-03-09,2025-12-31,,USD,
AGIG,ABUNDIA GLOBAL IMPACT GROUP INCORPORATED,2026-03-09,2025-12-31,,USD,
AGRPY,AGRPY,2026-03-09,2025-12-31,,USD,
AKTAF,AKTAF,2026-03-09,2025-12-31,0.02,USD,
ALTAF,ALTAF,2026-03-09,2025-12-31,,USD,
ALZN,ALZAMEND NEURO INCORPORATED,2026-03-09,2026-01-31,-0.53,USD,
AMPY,AMPLIFY ENERGY CORP,2026-03-09,2025-12-31,,USD,post-market
ANAB,ANAPTYSBIO INC,2026-03-09,2025-12-31,0.8726,USD,
ANNX,ANNEXON INC,2026-03-09,2025-12-31,-0.32,USD,
ARDDF,ARDDF,2026-03-09,2025-12-31,,USD,
ARDNF,ARDNF,2026-03-09,2025-12-31,,USD,
ARQ,ARQ INC,2026-03-09,2025-12-31,-0.04,USD,post-market
ASNFF,ASNFF,2026-03-09,2025-12-31,,USD,
ASTI,ASCENT SOLAR TECHNOLOGIES INCORPORATED,2026-03-09,2025-12-31,,USD,
AUQSF,AUQSF,2026-03-09,2025-12-31,,USD,
AVDL,AVADEL PHARMACEUTICALS PLC,2026-03-09,2025-12-31,0.0976,USD,
AVSFY,AVSFY,2026-03-09,2025-12-31,,USD,
AXNLF,AXNLF,2026-03-09,2025-12-31,,USD,
BAOS,BAOSHENG MEDIA GROUP HOLDINGS LIMITED,2026-03-09,2025-12-31,,USD,
BETA,BETA TECHNOLOGIES INC - CLASS A,2026-03-09,2025-12-31,-0.52,USD,pre-market
BNED,BARNES & NOBLE EDUCATION INCORPORATED,2026-03-09,2026-01-31,,USD,
BYFC,BROADWAY FINANCIAL CORPORATION,2026-03-09,2025-12-31,,USD,
BZQIF,BZQIF,2026-03-09,2025-12-31,0.12,USD,
CASY,CASEY`S GENERAL STORES INC,2026-03-09,2026-01-31,3.01,USD,post-market
CAWRF,CAWRF,2026-03-09,2025-12-31,,USD,
CHR,CHEER HOLDING INCORPORATED,2026-03-09,2025-12-31,,USD,
CHRS,COHERUS BIOSCIENCES INC,2026-03-09,2025-12-31,-0.38,USD,post-market
CKNHF,CKNHF,2026-03-09,2025-12-31,,USD,
CKNHY,CKNHY,2026-03-09,2025-12-31,,USD,
CLKFF,CLKFF,2026-03-09,2025-12-31,,USD,
CLYM,ELIEM THERAPEUTICS INC,2026-03-09,2025-12-31,-0.1872,USD,
CMCT,CREATIVE MEDIA,2026-03-09,2025-12-31,,USD,pre-market
CMMB,CHEMOMAB THERAPEUTICS LIMITED,2026-03-09,2025-12-31,-0.2,USD,
CMOPF,CMOPF,2026-03-09,2025-12-31,,USD,
CNPTF,CNPTF,2026-03-09,2025-12-31,,USD,
CNSWF,CNSWF,2026-03-09,2025-12-31,28,USD,
